packed,counter,value,time_of_day
42088033841070085,149,86.3,11:08:44.421
42294862286176266,150,42.85,11:08:44.426
42664899488530447,151,94.4,11:08:44.431
42885866965975060,152,59.18,11:08:44.436
43221888027344921,153,90.93,11:08:44.441
43490821699551262,154,83.63,11:08:44.446
43784425663905827,155,90.69,11:08:44.451
44066416036692008,156,90.99,11:08:44.456
44266733311377453,157,43.75,11:08:44.461
44474936146018354,158,1.1,11:08:44.466
44872014462468151,159,68.39,11:08:44.471
45039191769497660,160,1.86,11:08:44.476
45377205695692865,161,34.77,11:08:44.481
45652959775965254,162,31.44,11:08:44.486
45955394193080395,163,43.64,11:08:44.491
46238776135270480,164,44.75,11:08:44.496
46519340578914389,165,44.22,11:08:44.501
46829677735854170,166,61.02,11:08:44.506
47079095076667487,167,42.36,11:08:44.511
47336277718351972,168,28.22,11:08:44.516
47705799524630633,169,79.47,11:08:44.521
47983924426850414,170,77.52,11:08:44.526
48295756232409203,171,95.19,11:08:44.531
48551203707306104,172,80.04,11:08:44.536
48732520046674045,173,21.74,11:08:44.541
49087988719960194,174,64.81,11:08:44.546
49275799049879687,175,10.29,11:08:44.551
49597285941919884,176,33.58,11:08:44.556
49962220723126417,177,82.16,11:08:44.561
50183274099916950,178,46.99,11:08:44.566
50486138013761691,179,59.44,11:08:44.571
50774794175791264,180,63.62,11:08:44.576
50961058317484197,181,8.2,11:08:44.581
51271653172461738,182,25.15,11:08:44.586
51610955588845743,183,58.81,11:08:44.591
51897292468535476,184,61.64,11:08:44.596
52217336251564217,185,84.09,11:08:44.601
52450741954298046,186,56.11,11:08:44.606
52730172526575811,187,54.92,11:08:44.611
52921453190070472,188,2.42,11:08:44.616
53353252022141133,189,89.92,11:08:44.621
53533056533020882,190,30.74,11:08:44.626
53813346098757847,191,30.05,11:08:44.631
54074737808392412,192,18.36,11:08:44.636
54467899114668257,193,83.37,11:08:44.641
54658578482741478,194,30.52,11:08:44.646
54947406443462891,195,34.8,11:08:44.651
55281091042623728,196,65.19,11:08:44.656
55565950453563637,197,67.16,11:08:44.661
55837220587979002,198,61.22,11:08:44.666
56061228902269183,199,27.77,11:08:44.671
56423432084275460,200,74.76,11:08:44.676
56646718844059913,201,40.89,11:08:44.681
56896857739378958,202,22.65,11:08:44.686
57292149349433619,203,88.9,11:08:44.691
57492294825427224,204,41.56,11:08:44.696
57764939349377309,205,36.42,11:08:44.701
58072922864238882,206,51.85,11:08:44.706
58328507778089255,207,36.78,11:08:44.711
58594641131618604,208,27.85,11:08:44.716
58908173744226609,209,46.51,11:08:44.721
59273744180592950,210,95.46,11:08:44.726
59438705284497723,211,27.64,11:08:44.731
59708326151471424,212,20.74,11:08:44.736
60119388881436997,213,96.17,11:08:44.741
60275364913758538,214,23.12,11:08:44.746
60679950833041743,215,94.78,11:08:44.751
60822440668053844,216,13.88,11:08:44.756
61242024613134681,217,94.27,11:08:44.761
61508827981562206,218,85.73,11:08:44.766
61739416185749859,219,56.11,11:08:44.771
61963149622133096,220,22.5,11:08:44.776
62349885657334125,221,83.77,11:08:44.781
62550787047571826,222,36.87,11:08:44.786
62782165525741943,223,7.71,11:08:44.791
63062042774618492,224,6.78,11:08:44.796
63342005922840961,225,5.9,11:08:44.801
63697715114295686,226,49.11,11:08:44.806
63990563164406155,227,55.73,11:08:44.811
64187392925647248,228,6.46,11:08:44.816
64524255800607125,229,38.7,11:08:44.821
64825401727533466,230,50.15,11:08:44.826
65175853879017887,231,90.3,11:08:44.831
65320491197677988,232,10.65,11:08:44.836
65661013384774057,233,45.02,11:08:44.841
66023525804425646,234,92.19,11:08:44.846
66199155607093683,235,30.58,11:08:44.851
66578195060900280,236,87.37,11:08:44.856
66727659922801085,237,10.53,11:08:44.861
67053390242529730,238,36.29,11:08:44.866
67397468662546887,239,72.73,11:08:44.871
67635031893623244,240,47.17,11:08:44.876
67891716319101393,241,32.74,11:08:44.881
68208702085415382,242,53.41,11:08:44.886
68404002838299099,243,3.25,11:08:44.891
68692366942552544,244,7.26,11:08:44.896
69023457381466597,245,36.14,11:08:44.901
69349411039494634,246,62.03,11:08:44.906
69609153481687535,247,49.38,11:08:44.911
69908925019079156,248,60.03,11:08:44.916
70144976421667321,249,33.59,11:08:44.921
70498898906726910,250,75.76,11:08:44.926
70704284242821635,251,31.47,11:08:44.931
70986996170113544,252,32.19,11:08:44.936
71370622648992269,253,91.65,11:08:44.941
71500605539238418,254,3.47,11:08:44.946
71834358857875991,255,33.9,11:08:44.951
72132910624555548,256,43.84,11:08:44.956
72502896287302177,257,95.36,11:08:44.961
72727059220415014,258,62.0,11:08:44.966
72961804952945195,259,34.8,11:08:44.971
73318991613149744,260,78.87,11:08:44.976
73574817045168693,261,63.94,11:08:44.981
73747526270075450,262,0.63,11:08:44.986
74031853105070655,263,2.29,11:08:44.991
74364163314696772,264,31.88,11:08:44.996
74597826715468361,265,4.05,11:08:45.001
74945255209976398,266,42.44,11:08:45.006
75253530782614099,267,58.04,11:08:45.011
75594087329448536,268,92.43,11:08:45.016
75778994261475933,269,36.22,11:08:45.021
76140063572116066,270,82.55,11:08:45.026
76382815123685991,271,60.01,11:08:45.031
76659153319510636,272,57.02,11:08:45.036
76947276905595505,273,60.89,11:08:45.041
77236551542915702,274,65.43,11:08:45.046
77494868055966331,275,51.95,11:08:45.051
77854769135501952,276,97.6,11:08:45.056
77975217198350981,277,3.87,11:08:45.061
78383015753171594,278,77.4,11:08:45.066
78699864080532111,279,97.99,11:08:45.071
78952219178975892,280,81.04,11:08:45.076
79254481797399193,281,93.14,11:08:45.081
79427551799558814,282,30.04,11:08:45.086
79727477955773091,283,40.78,11:08:45.091
79983131589100200,284,25.75,11:08:45.096
80332243710788269,285,65.12,11:08:45.101
80543607641359026,286,24.31,11:08:45.106
80868650766320311,287,49.67,11:08:45.111
81068418285191868,288,2.11,11:08:45.116
81512208665952961,289,96.59,11:08:45.121
81729276313092806,290,59.1,11:08:45.126
81994000917349067,291,49.35,11:08:45.131
82309818452558544,292,69.34,11:08:45.136
82526044286108373,293,31.36,11:08:45.141
82782728711586522,294,16.93,11:08:45.146
83063396234445535,295,16.46,11:08:45.151
83481657329599204,296,96.08,11:08:45.156
83697573925503721,297,57.92,11:08:45.161
83916995214721774,298,21.8,11:08:45.166
84291121225941747,299,75.73,11:08:45.171
84465496898159352,300,13.39,11:08:45.176
84869498701890301,301,84.71,11:08:45.181
85073595547796226,302,39.67,11:08:45.186
85394962180752135,303,62.89,11:08:45.191
85593750447080204,304,14.76,11:08:45.196
85939357875454737,305,52.09,11:08:45.201
86296613255136022,306,96.2,11:08:45.206
86493528915723035,307,46.98,11:08:45.211
86842039741989664,308,86.0,11:08:45.216
86986264743789349,309,6.11,11:08:45.221
87281500795716394,310,14.12,11:08:45.226
87633172717912879,311,54.98,11:08:45.231
87890922295280436,312,41.17,11:08:45.236
88262763383898937,313,93.77,11:08:45.241
88384637375890238,314,0.87,11:08:45.246
88692792689443651,315,16.4,11:08:45.251
89093650577113928,316,85.89,11:08:45.256
89321971038569293,317,54.95,11:08:45.261
89660912677700434,318,88.4,11:08:45.266
89936048282682199,319,84.71,11:08:45.271
90114736102064988,320,24.88,11:08:45.276
90517586854560609,321,95.53,11:08:45.281
90664990132159334,322,17.49,11:08:45.286
91006560291275627,323,52.47,11:08:45.291
91228180603749232,324,17.63,11:08:45.296
91532333007782773,325,30.83,11:08:45.301
91815852388926330,326,32.02,11:08:45.306
92151100356182911,327,63.32,11:08:45.311
92487894511666052,328,95.52,11:08:45.316
92643114629743497,329,22.03,11:08:45.321
92905021735453582,330,10.64,11:08:45.326
93174436443997075,331,3.62,11:08:45.331
93496627710673816,332,27.32,11:08:45.336
93798374933021597,333,39.12,11:08:45.341
94106100749845410,334,54.4,11:08:45.346
94346893796328359,335,30.72,11:08:45.351
94640497760682924,336,37.78,11:08:45.356
94905188005200817,337,28.01,11:08:45.361
95296287727174582,338,91.82,11:08:45.366
95528215961158587,339,62.98,11:08:45.371
95830925256180672,340,75.34,11:08:45.376
95987021547586501,341,2.36,11:08:45.381
96380406192161738,342,67.5,11:08:45.386
96651951204484047,343,61.72,11:08:45.391
96870255802205140,344,24.95,11:08:45.396
97192378349405145,345,48.61,11:08:45.401
97436280952210398,346,26.74,11:08:45.406
97768024226153443,347,56.0,11:08:45.411
98012665563333608,348,34.56,11:08:45.416
98284622892516333,349,29.02,11:08:45.421
98684175110128626,350,97.75,11:08:45.426
98829722961855479,351,18.63,11:08:45.431
99116884475266044,352,21.94,11:08:45.436
99492625394189313,353,76.81,11:08:45.441
99687805887988742,354,26.58,11:08:45.446
100028070377047051,355,60.8,11:08:45.451
100222735474770960,356,10.27,11:08:45.456
100521012363543573,357,20.05,11:08:45.461
100792986872595482,358,14.52,11:08:45.466
101099149321323551,359,28.89,11:08:45.471
101422955495703588,360,53.53,11:08:45.476
101741813867758633,361,75.29,11:08:45.481
102006727450575918,362,65.65,11:08:45.486
102224791530128435,363,28.74,11:08:45.491
102536039220134968,364,46.07,11:08:45.496
102753673802957885,365,8.91,11:08:45.501
103021284625237058,366,0.84,11:08:45.506
103368008745108551,367,38.82,11:08:45.511
103674841208734796,368,53.58,11:08:45.516
103997410432533585,369,77.5,11:08:45.521
104256843637081174,370,64.67,11:08:45.526
104435960953193563,371,5.09,11:08:45.531
104795209197700192,372,50.36,11:08:45.536
105075756461474917,373,49.82,11:08:45.541
105301998158759018,374,17.67,11:08:45.546
105637813061698671,375,49.3,11:08:45.551
105982252258968692,376,85.95,11:08:45.556
106265307783644281,377,86.87,11:08:45.561
106559272525251710,378,94.14,11:08:45.566
106743973298848899,379,37.81,11:08:45.571
107083773931439240,380,71.76,11:08:45.576
107375951966651533,381,77.99,11:08:45.581
107631073024033938,382,62.65,11:08:45.586
107924951866295447,383,69.87,11:08:45.591
108239566810662044,384,89.16,11:08:45.596
108535713395655841,385,97.7,11:08:45.601
108755254943958182,386,61.65,11:08:45.606
109059630686291115,387,74.98,11:08:45.611
109273313899201712,388,35.52,11:08:45.616
109627940758897845,389,78.1,11:08:45.621
109852447289394362,390,44.94,11:08:45.626
110224546076050623,391,97.69,11:08:45.631
110366967191585988,392,16.75,11:08:45.636
110734977169376457,393,67.12,11:08:45.641
110980082363024590,394,45.95,11:08:45.646
111303390321198291,395,70.3,11:08:45.651
111537551938176216,396,42.76,11:08:45.656
111878847219385565,397,77.58,11:08:45.661
112051333105992930,398,14.14,11:08:45.666
112464113822876903,399,90.57,11:08:45.671
112654432413697260,400,37.51,11:08:45.676
112960027926742257,401,51.55,11:08:45.681
113182816470320374,402,17.39,11:08:45.686
113590804003702011,403,91.03,11:08:45.691
113817835974968576,404,59.34,11:08:45.696
114086546308875525,405,51.91,11:08:45.701
114417086991975690,406,80.47,11:08:45.706
114587442574804239,407,15.79,11:08:45.711
114984555250992404,408,83.1,11:08:45.716
115264707377775897,409,82.33,11:08:45.721
115430613374485790,410,15.06,11:08:45.726
115853908171310371,411,97.61,11:08:45.731
116073398180005160,412,61.53,11:08:45.736
116376090295158061,413,73.88,11:08:45.741
116598037025146162,414,39.23,11:08:45.746
116883154134123831,415,41.35,11:08:45.751
117167944825587004,416,43.28,11:08:45.756
117426003640599873,417,29.65,11:08:45.761
117770786435253574,418,66.5,11:08:45.766
117962685574038859,419,14.36,11:08:45.771
118350572660475216,420,76.3,11:08:45.776
118647818757096789,421,85.48,11:08:45.781
118835405748716890,422,30.83,11:08:45.786
119164005106599263,423,58.26,11:08:45.791
119397204650902884,424,30.16,11:08:45.796
119652033650509161,425,14.65,11:08:45.801
120022569069069678,426,66.49,11:08:45.806
120318440776156531,427,74.87,11:08:45.811
120589229874234744,428,68.65,11:08:45.816
120753057106773373,429,0.17,11:08:45.821
121106962411963778,430,42.33,11:08:45.826
121407352424646023,431,53.34,11:08:45.831
121706539846485388,432,63.65,11:08:45.836
121937694986356113,433,34.36,11:08:45.841
122254938450707862,434,55.18,11:08:45.846
122543096396531099,435,59.07,11:08:45.851
122886195564004768,436,94.94,11:08:45.856
123022328847418789,437,10.34,11:08:45.861
123313733788517802,438,16.12,11:08:45.866
123642126987969967,439,43.43,11:08:45.871
123854951207421364,440,3.47,11:08:45.876
124174307795682745,441,25.52,11:08:45.881
124436953635767742,442,14.56,11:08:45.886
124742291450774979,443,28.45,11:08:45.891
125075409114252744,444,58.51,11:08:45.896
125336508766111181,445,46.65,11:08:45.901
125554108989195730,446,9.47,11:08:45.906
125915848314734039,447,56.19,11:08:45.911
126179026730763740,448,45.54,11:08:45.916
126445984718013921,449,37.09,11:08:45.921
126670250730341862,450,3.79,11:08:45.926
127073101482837483,451,74.44,11:08:45.931
127374522287670768,452,86.05,11:08:45.936
127667851374118389,453,92.95,11:08:45.941
127896738771256826,454,62.34,11:08:45.946
128181409203635711,455,64.2,11:08:45.951
128413921553171972,456,35.7,11:08:45.956
128655229995730441,457,12.32,11:08:45.961
128943439481161230,458,16.24,11:08:45.966
129330622192961043,459,77.77,11:08:45.971
129597580180211224,460,69.32,11:08:45.976
129829937910924829,461,40.73,11:08:45.981
130118250475570722,462,44.71,11:08:45.986
130378662932661799,463,32.45,11:08:45.991
130767477732034092,464,94.93,11:08:45.996
131020159247992369,465,78.17,11:08:46.001
131229100817008182,466,35.95,11:08:46.006
131564761101125179,467,67.49,11:08:46.011
131764013223921216,468,19.63,11:08:46.016
132126680262395461,469,66.89,11:08:46.021
132393174393177674,470,58.17,11:08:46.026
132698649647138383,471,72.14,11:08:46.031
133013470749935188,472,91.55,11:08:46.036
133283040077301337,473,84.62,11:08:46.041
133579392820725342,474,93.28,11:08:46.046
133862036028540515,475,93.96,11:08:46.051
134074190233093736,476,53.61,11:08:46.056
134397377932183149,477,77.89,11:08:46.061
134657807569143410,478,65.64,11:08:46.066
134911348078560887,479,49.38,11:08:46.071
135172980306364028,480,37.83,11:08:46.076
135452496777987713,481,36.69,11:08:46.081
135811590403671686,482,81.87,11:08:46.086
136094182071879307,483,82.52,11:08:46.091
136405068984632976,484,99.64,11:08:46.096
136521703116523157,485,3.69,11:08:46.101
136926684172797594,486,75.58,11:08:46.106
137197387371529887,487,69.31,11:08:46.111
137429504584074916,488,40.58,11:08:46.116
137677444456138409,489,21.06,11:08:46.121
138056518269683374,490,77.87,11:08:46.126
138219623947716275,491,8.97,11:08:46.131
138565832671512248,492,46.65,11:08:46.136
138914893253592765,493,85.99,11:08:46.141
139214802229937858,494,96.72,11:08:46.146
139330250950854343,495,0.08,11:08:46.151
139679552051103436,496,39.56,11:08:46.156
139921702307251921,497,16.67,11:08:46.161
140180293698209494,498,3.35,11:08:46.166
140511092079347419,499,32.06,11:08:46.171
140860135481558752,500,71.39,11:08:46.176
141151952739518181,501,77.41,11:08:46.181
141444027695515370,502,83.58,11:08:46.186
141665252870997743,503,48.51,11:08:46.191
141890206078093044,504,15.61,11:08:46.196
142302711917070073,505,91.88,11:08:46.201
142489457095100158,506,36.74,11:08:46.206
142822591938447107,507,66.81,11:08:46.211
143007842467858184,508,10.8,11:08:46.216
143399371686561549,509,74.86,11:08:46.221
143721666032453394,510,98.62,11:08:46.226
143983796476462871,511,87.36,11:08:46.231
144127935578916636,512,7.42,11:08:46.236
144531559425525537,513,78.52,11:08:46.241
144790202356090662,514,65.23,11:08:46.246
144968288880052011,515,5.05,11:08:46.251
145297798771001136,516,33.01,11:08:46.256
145555221930854197,517,19.01,11:08:46.261
145836576648480570,518,18.94,11:08:46.266
146239100983461695,519,89.4,11:08:46.271
146507484899854148,520,81.78,11:08:46.276
146792172512102217,521,83.65,11:08:46.281
147067548635252558,522,80.1,11:08:46.286
147267711291115347,523,32.77,11:08:46.291
147558686735484760,524,38.3,11:08:46.296
147801678805223261,525,15.9,11:08:46.301
148057538596980578,526,0.99,11:08:46.306
148380399878555495,527,25.08,11:08:46.311
148681185028228972,528,36.32,11:08:46.316
149044504901732209,529,83.96,11:08:46.321
149296688201484150,530,66.91,11:08:46.326
149523599913666427,531,35.15,11:08:46.331
149915266571323264,532,99.29,11:08:46.336
150144016529508229,533,68.6,11:08:46.341
150346550007318410,534,22.65,11:08:46.346
150671266714765199,535,47.82,11:08:46.351
150928518075926420,536,33.72,11:08:46.356
151236999806994329,537,49.44,11:08:46.361
151542835838207902,538,63.62,11:08:46.366
151840305273128867,539,72.93,11:08:46.371
152160709833410472,540,95.59,11:08:46.376
152434282070296493,541,90.99,11:08:46.381
152620357233428402,542,35.46,11:08:46.386
152909391352580023,543,39.86,11:08:46.391
153176761656690620,544,31.65,11:08:46.396
153535099368130497,545,76.39,11:08:46.401
153702826430973894,546,10.18,11:08:46.406
154104526132234187,547,80.16,11:08:46.411
154317882927630288,548,40.51,11:08:46.416
154673403140523989,549,83.61,11:08:46.421
154873222199003098,550,36.08,11:08:46.426
155113774727317471,551,12.26,11:08:46.431
155431653846829028,552,33.45,11:08:46.436
155795746814445545,553,81.54,11:08:46.441
155950846673438702,554,7.98,11:08:46.446
156345468268595187,555,73.84,11:08:46.451
156585591300179960,556,49.77,11:08:46.456
156899467510171645,557,68.63,11:08:46.461
157215783261587458,558,88.91,11:08:46.466
157387856831334407,559,25.23,11:08:46.471
157656670244456460,560,17.86,11:08:46.476
157941168878143505,561,19.62,11:08:46.481
158270713128830998,562,47.6,11:08:46.486
158631456021956635,563,93.74,11:08:46.491
158819833287559200,564,39.55,11:08:46.496
159146834917607461,565,66.05,11:08:46.501
159486549650851882,566,99.95,11:08:46.506
159734884659906607,567,80.66,11:08:46.511
159974698453846068,568,56.41,11:08:46.516
160213051958904889,569,31.31,11:08:46.521
160589583151810622,570,86.64,11:08:46.526
160841560293132355,571,69.47,11:08:46.531
161071134885038152,572,39.26,11:08:46.536
161393360511453261,573,62.98,11:08:46.541
161626955192748114,574,35.11,11:08:46.546
161961962641836119,575,66.27,11:08:46.551
162250172127266908,576,70.19,11:08:46.556
162433275173029985,577,12.93,11:08:46.561
162833583304886374,578,82.1,11:08:46.566
163009865942583403,579,20.87,11:08:46.571
163360713231059056,580,61.25,11:08:46.576
163561717700511861,581,14.41,11:08:46.581
163843759612905594,582,14.74,11:08:46.586
164112040450082943,583,7.06,11:08:46.591
164504583281068164,584,71.71,11:08:46.596
164788411899857033,585,73.08,11:08:46.601
165078528350767246,586,78.11,11:08:46.606
165260823942678675,587,20.38,11:08:46.611
165595779852159128,588,51.51,11:08:46.616
165935992801609885,589,85.7,11:08:46.621
166144865651148962,590,43.44,11:08:46.626
166457281572260007,591,61.45,11:08:46.631
166792632618731692,592,92.81,11:08:46.636
166924144517335217,593,5.52,11:08:46.641
167266968806901942,594,41.23,11:08:46.646
167568767568857275,595,53.06,11:08:46.651
167763827803572416,596,2.76,11:08:46.656
168203821433243845,597,95.03,11:08:46.661
168349283385624778,598,15.86,11:08:46.666
168744265758034127,599,81.93,11:08:46.671
168910893309249748,600,15.08,11:08:46.676
169237894939298009,601,41.58,11:08:46.681
169548403894929630,602,58.48,11:08:46.686
169893135149975779,603,95.3,11:08:46.691
170085618404313320,604,43.5,11:08:46.696
170340911260387565,605,28.26,11:08:46.701
170618572306139378,606,26.04,11:08:46.706
170967426729789687,607,65.26,11:08:46.711
171150839013198076,608,8.18,11:08:46.716
171519639264971009,609,59.01,11:08:46.721
171823688589789446,610,72.15,11:08:46.726
172121690600655115,611,81.77,11:08:46.731
172433075729615120,612,99.18,11:08:46.736
172684829532637461,613,81.88,11:08:46.741
172859531622369562,614,19.73,11:08:46.746
173268756106332447,615,94.09,11:08:46.751
173477766394824996,616,51.91,11:08:46.756
173820865562298665,617,87.78,11:08:46.761
174000240576448814,618,28.35,11:08:46.766
174374091709761843,619,82.12,11:08:46.771
174593289660680504,620,45.87,11:08:46.776
174812934288197949,621,9.88,11:08:46.781
175187077479287106,622,63.82,11:08:46.786
175405450796484935,623,27.09,11:08:46.791
175659781579884876,624,11.29,11:08:46.796
175965892489005393,625,25.63,11:08:46.801
176372024596515158,626,98.19,11:08:46.806
176612989441689947,627,74.61,11:08:46.811
176920199862438240,628,89.59,11:08:46.816
177084353512491365,629,21.3,11:08:46.821
177351174060788074,630,12.77,11:08:46.826
177702038529132911,631,53.16,11:08:46.831
177979459056716148,632,50.8,11:08:46.836
178200907570497913,633,15.86,11:08:46.841
178530417461447038,634,43.82,11:08:46.846
178855134168893827,635,68.99,11:08:46.851
179022053777885576,636,2.31,11:08:46.856
179379412236781965,637,46.48,11:08:46.861
179699163962034578,638,68.76,11:08:46.866
179975089840998807,639,65.53,11:08:46.871
180254417334061468,640,64.28,11:08:46.876
180587139860548001,641,94.11,11:08:46.881
180757289284946342,642,29.31,11:08:46.886
181091918776912299,643,60.25,11:08:46.891
181283062001453488,644,7.67,11:08:46.896
181562028717263285,645,6.21,11:08:46.901
181843074197244346,646,5.96,11:08:46.906
182131988057311679,647,10.29,11:08:46.911
182519033330158020,648,71.74,11:08:46.916
182725724336310729,649,28.21,11:08:46.921
183128935866059214,650,99.07,11:08:46.926
183332843733404115,651,53.92,11:08:46.931
183546595665791448,652,14.5,11:08:46.936
183859234925201885,653,32.64,11:08:46.941
184120076879022562,654,20.63,11:08:46.946
184454053535959527,655,51.19,11:08:46.951
184659937088260588,656,7.19,11:08:46.956
184941343345494513,657,7.15,11:08:46.961
185358487749151222,658,86.12,11:08:46.966
185660973705873915,659,98.35,11:08:46.971
185810507287251456,660,21.55,11:08:46.976
186058876656044549,661,2.28,11:08:46.981
186380982023375370,662,25.93,11:08:46.986
186777974440479247,663,93.17,11:08:46.991
186961781860878868,664,36.32,11:08:46.996
187339893601749529,665,92.57,11:08:47.001
187503256977820190,666,23.82,11:08:47.006
187905283096594979,667,93.99,11:08:47.011
